id,address,latitude,longitude
85,25 EVERGREEN CR SW,50.9215815275547,-114.100897916366
776,8608 METIS TR NE,51.1298266872992,-113.96923260807
916,121 SADDLEMEAD RD NE,51.1282839861152,-113.946243034372
1103,22 SADDLEBACK RD NE,51.1283490668448,-113.950394401587
1173,179 SADDLEMEAD RD NE,51.1288607473867,-113.944666215123
1666,16 TARARIDGE DR NE,51.1115297685988,-113.940245264505
1753,25 TARAGLEN RD NE,51.1126705671937,-113.939584265857
2208,6012 MARTINGROVE RD NE,51.112716740868,-113.952018692227
3100,77 MARTIN CROSSING WY NE,51.1195071146405,-113.958180731593
3504,230 MARTINVALLEY CR NE,51.1239097118877,-113.953032384546
4144,10 MARTINBROOK LI NE,51.1153129740529,-113.959745422875
4862,65 MARTINBROOK RD NE,51.1162085509866,-113.957734277632
5054,63 MARTIN CROSSING CL NE,51.1191742956556,-113.960735089069
5259,109 MARTHA'S HAVEN GR NE,51.1193517059779,-113.964146847342
5317,10 MARTHA'S HAVEN MR NE,51.1220884912743,-113.965748349183
6224,20 HUNTFORD RD NE,51.1141378202958,-114.064751100059
6615,7904 HUNTWICK HL NE,51.1222093023328,-114.063509722424
6679,8003 HUNTWICK CR NE,51.1232815189515,-114.062201297049
7124,404 72 AV NE,51.1180997002488,-114.059627649712
7656,40 HUNTSTROM RD NE,51.124072361814,-114.050392879386
7707,15 HUNTERHORN PL NE,51.1154878207697,-114.052816431516
9668,119 HUNTINGTON PARK GR NW,51.1199905013666,-114.082399063903
10497,56 EDELWEISS CR NW,51.1188992953287,-114.136459250762
11002,115 DALMENY BA NW,51.1147294100845,-114.157892252269
11387,803 EDGEMONT RD NW,51.1168445543154,-114.148577706749
12845,6536 SILVER SPRINGS CR NW,51.1119208283975,-114.18471893838
15547,112 SILVERCREEK DR NW,51.1138994030917,-114.208252910607
15851,7707 68 AV NW,51.1135182678981,-114.198008321148
16128,166 RANCH GLEN DR NW,51.1191557665698,-114.193518026028
18524,311 SILVER VALLEY RD NW,51.1048028268917,-114.205650566576
18692,235 SILVER HILL WY NW,51.106557592655,-114.203190223883
19154,5 8203 SILVER SPRINGS RD NW,51.1086598478532,-114.204749504275
20470,312 VARSITY ESTATES PL NW,51.1047943924619,-114.173427764378
20548,5508 BUCKBOARD RD NW,51.1090921970259,-114.166803856058
20979,4916 48 ST NW,51.0966216737366,-114.156874661354
21929,5008 DALHOUSIE DR NW,51.1070260352481,-114.158979444135
22416,71 4936 DALTON DR NW,51.1013684432897,-114.152848472489
22560,31 4740 DALTON DR NW,51.1037566002196,-114.154085421626
23760,284V 5201 DALHOUSIE DR NW,51.1065637113609,-114.159863842822
24076,5120 BRISEBOIS DR NW,51.0985963536378,-114.127324594069
24321,5043 BATCHELOR CR NW,51.0971707410515,-114.133045999851
24551,3616 BENTON DR NW,51.1032014778403,-114.139182654617
24938,504 TRAFFORD DR NW,51.0990756374962,-114.071921427931
26669,5519 TRAVIS CR NE,51.1003604902265,-114.058251549474
27264,319 TRAFFORD DR NW,51.0968111114201,-114.068799025912
30712,71 FALWOOD PL NE,51.0971041249724,-113.944693541559
30989,276 FALLSWATER RD NE,51.1003267685024,-113.939828124165
31811,107 CASTLEGLEN WY NE,51.1064733767207,-113.957653706348
31938,35 CASTLERIDGE RD NE,51.1086922995616,-113.951352226352
32128,120 FALTON DR NE,51.1042465623287,-113.939912480325
32697,56 CASTLERIDGE DR NE,51.108370290604,-113.953314350051
33402,28 1155 FALCONRIDGE DR NE,51.0978979973752,-113.953762686303
33622,404 FALCONRIDGE GD NE,51.1021487880779,-113.936628529394
33646,1528 FALCONRIDGE DR NE,51.1021487880779,-113.936628529394
34298,67 TEMPLETON PL NE,51.0823823144541,-113.93866198868
36613,20 TEMPLESON RD NE,51.0874992229718,-113.938054666563
37536,3303 48 ST NE,51.0817458062437,-113.964061813877
39297,131 WHITLOCK CL NE,51.0863342206945,-113.971850734106
40135,4520 40 ST NE,51.0926097994202,-113.976747522742
40148,3716 44 AV NE,51.0914530460266,-113.98087428857
40245,220 WHITWORTH WY NE,51.0948391036925,-113.98046981163
